0,00,00000000,0000,0000,NOP,NOP,none,none,1,4,-,-,-,-,No operation,,
1,01,00000001,0000,0001,"LD BC,d16",LD,BC,d16,3,12,-,-,-,-,Put,BByte,write
2,02,00000010,0000,0010,"LD (BC),A",LD,(BC),A,1,8,-,-,-,-,Put,BByte,write
3,03,00000011,0000,0011,INC BC,INC,BC,none,1,8,-,-,-,-,Increment register n,BByte,inc
4,04,00000100,0000,0100,INC B,INC,B,none,1,4,Z,0,H,-,Increment register n,BByte,inc
5,05,00000101,0000,0101,DEC B,DEC,B,none,1,4,Z,1,H,-,Decrement register n,BByte,dec
6,06,00000110,0000,0110,"LD B,d8",LD,B,d8,2,8,-,-,-,-,Put,BByte,write
7,07,00000111,0000,0111,RLCA,RLCA,none,none,1,4,0,0,0,C,Rotate A left. Old bit 7 to Carry flag,BByte,rotateLeft
8,08,00001000,0000,1000,"LD (a16),SP",LD,(a16),SP,3,20,-,-,-,-,Put,BByte,write
9,09,00001001,0000,1001,"ADD HL,BC",ADD,HL,BC,1,8,-,0,H,C,Add n to A,BByte,add
10,0A,00001010,0000,1010,"LD A,(BC)",LD,A,(BC),1,8,-,-,-,-,Put,BByte,write
11,0B,00001011,0000,1011,DEC BC,DEC,BC,none,1,8,-,-,-,-,Decrement register n,BByte,dec
12,0C,00001100,0000,1100,INC C,INC,C,none,1,4,Z,0,H,-,Increment register n,BByte,inc
13,0D,00001101,0000,1101,DEC C,DEC,C,none,1,4,Z,1,H,-,Decrement register n,BByte,dec
14,0E,00001110,0000,1110,"LD C,d8",LD,C,d8,2,8,-,-,-,-,Put,BByte,write
15,0F,00001111,0000,1111,RRCA,RRCA,none,none,1,4,0,0,0,C,Rotate A right; Old bit 0 to Carry flag,BByte,rotateRight
16,10,00010000,0001,0000,STOP 0,STOP,0,none,2,4,-,-,-,-,Halt CPU & LCD display until button pressed,,
17,11,00010001,0001,0001,"LD DE,d16",LD,DE,d16,3,12,-,-,-,-,Put,BByte,write
18,12,00010010,0001,0010,"LD (DE),A",LD,(DE),A,1,8,-,-,-,-,Put,BByte,write
19,13,00010011,0001,0011,INC DE,INC,DE,none,1,8,-,-,-,-,Increment register n,BByte,inc
20,14,00010100,0001,0100,INC D,INC,D,none,1,4,Z,0,H,-,Increment register n,BByte,inc
21,15,00010101,0001,0101,DEC D,DEC,D,none,1,4,Z,1,H,-,Decrement register n,BByte,dec
22,16,00010110,0001,0110,"LD D,d8",LD,D,d8,2,8,-,-,-,-,Put,BByte,write
23,17,00010111,0001,0111,RLA,RLA,none,none,1,4,0,0,0,C,Rotate A left through Carry flag,BByte,rotateLeftThroughFlag
24,18,00011000,0001,1000,JR r8,JR,r8,none,2,12,-,-,-,-,Add n to current address and jump to it; Conditional JR,,
25,19,00011001,0001,1001,"ADD HL,DE",ADD,HL,DE,1,8,-,0,H,C,Add n to A,BByte,add
