0,00,00000000,0000,0000,NOP,NOP,,,1,4,-,-,-,-
1,01,00000001,0000,0001,"LD BC,d16",LD,BC,d16,3,12,-,-,-,-
2,02,00000010,0000,0010,"LD (BC),A",LD,(BC),A,1,8,-,-,-,-
3,03,00000011,0000,0011,INC BC,INC,BC,,1,8,-,-,-,-
4,04,00000100,0000,0100,INC B,INC,B,,1,4,Z,0,H,-
5,05,00000101,0000,0101,DEC B,DEC,B,,1,4,Z,1,H,-
6,06,00000110,0000,0110,"LD B,d8",LD,B,d8,2,8,-,-,-,-
7,07,00000111,0000,0111,RLCA,RLCA,,,1,4,0,0,0,C
8,08,00001000,0000,1000,"LD (a16),SP",LD,(a16),SP,3,20,-,-,-,-
9,09,00001001,0000,1001,"ADD HL,BC",ADD,HL,BC,1,8,-,0,H,C
10,0A,00001010,0000,1010,"LD A,(BC)",LD,A,(BC),1,8,-,-,-,-
11,0B,00001011,0000,1011,DEC BC,DEC,BC,,1,8,-,-,-,-
12,0C,00001100,0000,1100,INC C,INC,C,,1,4,Z,0,H,-
13,0D,00001101,0000,1101,DEC C,DEC,C,,1,4,Z,1,H,-
14,0E,00001110,0000,1110,"LD C,d8",LD,C,d8,2,8,-,-,-,-
15,0F,00001111,0000,1111,RRCA,RRCA,,,1,4,0,0,0,C
16,10,00010000,0001,0000,STOP 0,STOP,0,,2,4,-,-,-,-
17,11,00010001,0001,0001,"LD DE,d16",LD,DE,d16,3,12,-,-,-,-
18,12,00010010,0001,0010,"LD (DE),A",LD,(DE),A,1,8,-,-,-,-
19,13,00010011,0001,0011,INC DE,INC,DE,,1,8,-,-,-,-
20,14,00010100,0001,0100,INC D,INC,D,,1,4,Z,0,H,-
21,15,00010101,0001,0101,DEC D,DEC,D,,1,4,Z,1,H,-
22,16,00010110,0001,0110,"LD D,d8",LD,D,d8,2,8,-,-,-,-
23,17,00010111,0001,0111,RLA,RLA,,,1,4,0,0,0,C
24,18,00011000,0001,1000,JR r8,JR,r8,,2,12,-,-,-,-
25,19,00011001,0001,1001,"ADD HL,DE",ADD,HL,DE,1,8,-,0,H,C
26,1A,00011010,0001,1010,"LD A,(DE)",LD,A,(DE),1,8,-,-,-,-
27,1B,00011011,0001,1011,DEC DE,DEC,DE,,1,8,-,-,-,-
28,1C,00011100,0001,1100,INC E,INC,E,,1,4,Z,0,H,-
29,1D,00011101,0001,1101,DEC E,DEC,E,,1,4,Z,1,H,-
30,1E,00011110,0001,1110,"LD E,d8",LD,E,d8,2,8,-,-,-,-
31,1F,00011111,0001,1111,RRA,RRA,,,1,4,0,0,0,C
32,20,00100000,0010,0000,"JR NZ,r8",JR,NZ,r8,2,12/8,-,-,-,-
33,21,00100001,0010,0001,"LD HL,d16",LD,HL,d16,3,12,-,-,-,-
34,22,00100010,0010,0010,"LD (HL+),A",LD,(HL+),A,1,8,-,-,-,-
35,23,00100011,0010,0011,INC HL,INC,HL,,1,8,-,-,-,-
36,24,00100100,0010,0100,INC H,INC,H,,1,4,Z,0,H,-
37,25,00100101,0010,0101,DEC H,DEC,H,,1,4,Z,1,H,-
38,26,00100110,0010,0110,"LD H,d8",LD,H,d8,2,8,-,-,-,-
39,27,00100111,0010,0111,DAA,DAA,,,1,4,Z,-,0,C
40,28,00101000,0010,1000,"JR Z,r8",JR,Z,r8,2,12/8,-,-,-,-
41,29,00101001,0010,1001,"ADD HL,HL",ADD,HL,HL,1,8,-,0,H,C
42,2A,00101010,0010,1010,"LD A,(HL+)",LD,A,(HL+),1,8,-,-,-,-
43,2B,00101011,0010,1011,DEC HL,DEC,HL,,1,8,-,-,-,-
44,2C,00101100,0010,1100,INC L,INC,L,,1,4,Z,0,H,-
45,2D,00101101,0010,1101,DEC L,DEC,L,,1,4,Z,1,H,-
46,2E,00101110,0010,1110,"LD L,d8",LD,L,d8,2,8,-,-,-,-
47,2F,00101111,0010,1111,CPL,CPL,,,1,4,-,1,1,-
48,30,00110000,0011,0000,"JR NC,r8",JR,NC,r8,2,12/8,-,-,-,-
49,31,00110001,0011,0001,"LD SP,d16",LD,SP,d16,3,12,-,-,-,-
50,32,00110010,0011,0010,"LD (HL-),A",LD,(HL-),A,1,8,-,-,-,-
51,33,00110011,0011,0011,INC SP,INC,SP,,1,8,-,-,-,-
52,34,00110100,0011,0100,INC (HL),INC,(HL),,1,12,Z,0,H,-
53,35,00110101,0011,0101,DEC (HL),DEC,(HL),,1,12,Z,1,H,-
54,36,00110110,0011,0110,"LD (HL),d8",LD,(HL),d8,2,12,-,-,-,-
55,37,00110111,0011,0111,SCF,SCF,,,1,4,-,0,0,1
56,38,00111000,0011,1000,"JR C,r8",JR,C,r8,2,12/8,-,-,-,-
57,39,00111001,0011,1001,"ADD HL,SP",ADD,HL,SP,1,8,-,0,H,C
58,3A,00111010,0011,1010,"LD A,(HL-)",LD,A,(HL-),1,8,-,-,-,-
59,3B,00111011,0011,1011,DEC SP,DEC,SP,,1,8,-,-,-,-
60,3C,00111100,0011,1100,INC A,INC,A,,1,4,Z,0,H,-
61,3D,00111101,0011,1101,DEC A,DEC,A,,1,4,Z,1,H,-
62,3E,00111110,0011,1110,"LD A,d8",LD,A,d8,2,8,-,-,-,-
63,3F,00111111,0011,1111,CCF,CCF,,,1,4,-,0,0,C
64,40,01000000,0100,0000,"LD B,B",LD,B,B,1,4,-,-,-,-
65,41,01000001,0100,0001,"LD B,C",LD,B,C,1,4,-,-,-,-
66,42,01000010,0100,0010,"LD B,D",LD,B,D,1,4,-,-,-,-
67,43,01000011,0100,0011,"LD B,E",LD,B,E,1,4,-,-,-,-
68,44,01000100,0100,0100,"LD B,H",LD,B,H,1,4,-,-,-,-
69,45,01000101,0100,0101,"LD B,L",LD,B,L,1,4,-,-,-,-
70,46,01000110,0100,0110,"LD B,(HL)",LD,B,(HL),1,8,-,-,-,-
71,47,01000111,0100,0111,"LD B,A",LD,B,A,1,4,-,-,-,-
72,48,01001000,0100,1000,"LD C,B",LD,C,B,1,4,-,-,-,-
73,49,01001001,0100,1001,"LD C,C",LD,C,C,1,4,-,-,-,-
74,4A,01001010,0100,1010,"LD C,D",LD,C,D,1,4,-,-,-,-
75,4B,01001011,0100,1011,"LD C,E",LD,C,E,1,4,-,-,-,-
76,4C,01001100,0100,1100,"LD C,H",LD,C,H,1,4,-,-,-,-
77,4D,01001101,0100,1101,"LD C,L",LD,C,L,1,4,-,-,-,-
78,4E,01001110,0100,1110,"LD C,(HL)",LD,C,(HL),1,8,-,-,-,-
79,4F,01001111,0100,1111,"LD C,A",LD,C,A,1,4,-,-,-,-
80,50,01010000,0101,0000,"LD D,B",LD,D,B,1,4,-,-,-,-
81,51,01010001,0101,0001,"LD D,C",LD,D,C,1,4,-,-,-,-
82,52,01010010,0101,0010,"LD D,D",LD,D,D,1,4,-,-,-,-
83,53,01010011,0101,0011,"LD D,E",LD,D,E,1,4,-,-,-,-
84,54,01010100,0101,0100,"LD D,H",LD,D,H,1,4,-,-,-,-
85,55,01010101,0101,0101,"LD D,L",LD,D,L,1,4,-,-,-,-
86,56,01010110,0101,0110,"LD D,(HL)",LD,D,(HL),1,8,-,-,-,-
87,57,01010111,0101,0111,"LD D,A",LD,D,A,1,4,-,-,-,-
88,58,01011000,0101,1000,"LD E,B",LD,E,B,1,4,-,-,-,-
89,59,01011001,0101,1001,"LD E,C",LD,E,C,1,4,-,-,-,-
90,5A,01011010,0101,1010,"LD E,D",LD,E,D,1,4,-,-,-,-
91,5B,01011011,0101,1011,"LD E,E",LD,E,E,1,4,-,-,-,-
92,5C,01011100,0101,1100,"LD E,H",LD,E,H,1,4,-,-,-,-
93,5D,01011101,0101,1101,"LD E,L",LD,E,L,1,4,-,-,-,-
94,5E,01011110,0101,1110,"LD E,(HL)",LD,E,(HL),1,8,-,-,-,-
95,5F,01011111,0101,1111,"LD E,A",LD,E,A,1,4,-,-,-,-
96,60,01100000,0110,0000,"LD H,B",LD,H,B,1,4,-,-,-,-
97,61,01100001,0110,0001,"LD H,C",LD,H,C,1,4,-,-,-,-
98,62,01100010,0110,0010,"LD H,D",LD,H,D,1,4,-,-,-,-
99,63,01100011,0110,0011,"LD H,E",LD,H,E,1,4,-,-,-,-
100,64,01100100,0110,0100,"LD H,H",LD,H,H,1,4,-,-,-,-
101,65,01100101,0110,0101,"LD H,L",LD,H,L,1,4,-,-,-,-
102,66,01100110,0110,0110,"LD H,(HL)",LD,H,(HL),1,8,-,-,-,-
103,67,01100111,0110,0111,"LD H,A",LD,H,A,1,4,-,-,-,-
104,68,01101000,0110,1000,"LD L,B",LD,L,B,1,4,-,-,-,-
105,69,01101001,0110,1001,"LD L,C",LD,L,C,1,4,-,-,-,-
106,6A,01101010,0110,1010,"LD L,D",LD,L,D,1,4,-,-,-,-
107,6B,01101011,0110,1011,"LD L,E",LD,L,E,1,4,-,-,-,-
108,6C,01101100,0110,1100,"LD L,H",LD,L,H,1,4,-,-,-,-
109,6D,01101101,0110,1101,"LD L,L",LD,L,L,1,4,-,-,-,-
110,6E,01101110,0110,1110,"LD L,(HL)",LD,L,(HL),1,8,-,-,-,-
111,6F,01101111,0110,1111,"LD L,A",LD,L,A,1,4,-,-,-,-
112,70,01110000,0111,0000,"LD (HL),B",LD,(HL),B,1,8,-,-,-,-
113,71,01110001,0111,0001,"LD (HL),C",LD,(HL),C,1,8,-,-,-,-
114,72,01110010,0111,0010,"LD (HL),D",LD,(HL),D,1,8,-,-,-,-
115,73,01110011,0111,0011,"LD (HL),E",LD,(HL),E,1,8,-,-,-,-
116,74,01110100,0111,0100,"LD (HL),H",LD,(HL),H,1,8,-,-,-,-
117,75,01110101,0111,0101,"LD (HL),L",LD,(HL),L,1,8,-,-,-,-
118,76,01110110,0111,0110,HALT,HALT,,,1,4,-,-,-,-
119,77,01110111,0111,0111,"LD (HL),A",LD,(HL),A,1,8,-,-,-,-
120,78,01111000,0111,1000,"LD A,B",LD,A,B,1,4,-,-,-,-
121,79,01111001,0111,1001,"LD A,C",LD,A,C,1,4,-,-,-,-
122,7A,01111010,0111,1010,"LD A,D",LD,A,D,1,4,-,-,-,-
123,7B,01111011,0111,1011,"LD A,E",LD,A,E,1,4,-,-,-,-
124,7C,01111100,0111,1100,"LD A,H",LD,A,H,1,4,-,-,-,-
125,7D,01111101,0111,1101,"LD A,L",LD,A,L,1,4,-,-,-,-
126,7E,01111110,0111,1110,"LD A,(HL)",LD,A,(HL),1,8,-,-,-,-
127,7F,01111111,0111,1111,"LD A,A",LD,A,A,1,4,-,-,-,-
128,80,10000000,1000,0000,"ADD A,B",ADD,A,B,1,4,Z,0,H,C
